City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
424,Tecoanapa,MX,81.1,clear sky,16.5167,-98.75,Hotel Manglares
426,Comodoro Rivadavia,AR,82.26,clear sky,-45.8667,-67.5,Austral Hotel
430,Santa Isabel,BR,70.66,light rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
432,Tutoia,BR,82.38,overcast clouds,-2.7619,-42.2744,Pousada Guará's
433,Alvorada,BR,74.91,scattered clouds,-12.48,-49.1247,Cristal Plaza Hotel
438,Simbahan,PH,81.14,broken clouds,6.3032,120.5836,
439,Morondava,MG,80.69,light rain,-20.2833,44.2833,La Case Bambou
440,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
444,Quelimane,MZ,73.18,few clouds,-17.8786,36.8883,Hotel Flamingo
446,Los Rastrojos,VE,76.24,broken clouds,10.0259,-69.2417,MakeupAngells
450,Penalva,BR,75.02,overcast clouds,-3.2942,-45.1736,Hotel São José
452,Camapua,BR,73.18,overcast clouds,-19.5314,-54.0439,Comercial Estrela
453,Xuddur,SO,72.81,overcast clouds,4.1213,43.8894,Banjanay Hotel
458,San Luis,AR,72.7,broken clouds,-33.295,-66.3356,Huarpes Hotel
462,Sur,OM,71.51,clear sky,22.5667,59.5289,Sur Plaza Hotel
467,Ugoofaaru,MV,81.19,few clouds,5.6667,73.0,Ungoofaaru Inn
473,Kiunga,PG,79.52,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
474,Houma,US,73.99,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
476,Vicuna,CL,78.76,clear sky,-30.0319,-70.7081,Los Mosaicos
479,Thinadhoo,MV,82.2,clear sky,0.5333,72.9333,
480,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
483,Aquiraz,BR,82.49,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
484,Kahului,US,81.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
486,Madang,PG,79.29,light rain,-5.2246,145.7966,Comfort Inn Hotel
487,Kalianget,ID,76.37,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
491,Maputo,MZ,79.23,clear sky,-25.9653,32.5892,Pestana Rovuma
494,Katobu,ID,77.05,overcast clouds,-4.9408,122.5276,La Ode Husein
498,Moanda,GA,72.55,light rain,-1.5575,13.2178,Heliconia Stadium Moanda
501,Carauari,BR,73.36,moderate rain,-4.8828,-66.8958,Hotel Fellip
504,Yarada,IN,70.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
509,Villa Maria,AR,75.54,overcast clouds,-32.4075,-63.2402,Hotel Milenium
510,Hambantota,LK,72.1,clear sky,6.1241,81.1185,Bungalow 63
511,Puerto Narino,CO,75.15,heavy intensity rain,-3.7703,-70.3831,Eware Refugio Amazonico
521,Beira,MZ,75.67,few clouds,-19.8436,34.8389,Beira Terrace Hotel
524,Tevaitoa,PF,81.18,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
526,Badou,TG,72.75,broken clouds,7.5833,0.6,Hôtel Abuta
534,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
