City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
371,Bonavista,48.6499,-53.1147,24.12,71,29,19.55,CA,2022-02-02 23:00:32,scattered clouds
372,Rongcheng,30.634,117.8517,35.78,99,100,4.09,CN,2022-02-02 23:01:21,overcast clouds
373,Aksu,41.1231,80.2644,22.12,55,93,1.66,CN,2022-02-02 23:00:26,overcast clouds
374,Monrovia,6.3005,-10.7969,79.65,82,10,8.3,LR,2022-02-02 23:01:10,clear sky
375,Jining,35.405,116.5814,29.53,50,81,4.25,CN,2022-02-02 23:00:22,broken clouds
376,Sangueya,10.7,-14.3667,72.28,92,20,1.25,GN,2022-02-02 23:02:05,few clouds
377,La Ronge,55.1001,-105.2842,-9.62,89,6,4.68,CA,2022-02-02 23:01:34,clear sky
378,Oistins,13.0667,-59.5333,77.79,72,17,17.29,BB,2022-02-02 23:02:06,few clouds
379,Saint Anthony,45.0205,-93.218,5.67,55,0,8.01,US,2022-02-02 23:02:06,clear sky
380,Porto Novo,6.4965,2.6036,76.46,77,1,5.46,BJ,2022-02-02 23:02:06,clear sky
381,Yenagoa,4.9247,6.2642,79.5,74,7,5.68,NG,2022-02-02 23:02:07,clear sky
382,Mehamn,71.0357,27.8492,25.07,73,100,9.91,NO,2022-02-02 23:00:03,overcast clouds
383,San Policarpo,12.1791,125.5072,79.11,83,81,16.87,PH,2022-02-02 23:02:07,broken clouds
384,Soyo,-6.1349,12.3689,77.83,75,79,7.81,AO,2022-02-02 23:02:08,broken clouds
385,Magrath,49.4167,-112.8686,8.46,66,80,11.39,CA,2022-02-02 23:02:08,broken clouds
386,Necochea,-38.5473,-58.7368,81.61,52,100,9.86,AR,2022-02-02 23:01:27,light rain
387,Oranjemund,-28.55,16.4333,67.59,86,100,5.53,NA,2022-02-02 23:02:09,overcast clouds
388,Aykhal,66.0,111.5,-21.01,100,5,3.38,RU,2022-02-02 22:59:35,clear sky
389,Krutikha,53.9599,81.2093,0.19,100,100,3.15,RU,2022-02-02 23:02:10,overcast clouds
390,Srednekolymsk,67.45,153.6833,-25.69,99,99,2.13,RU,2022-02-02 23:02:10,overcast clouds
391,Borba,-4.3878,-59.5939,75.22,96,87,2.64,BR,2022-02-02 23:02:10,overcast clouds
392,Skjervoy,70.0311,20.9714,23.86,70,29,20.22,NO,2022-02-02 23:02:11,scattered clouds
393,Grand-Santi,4.25,-54.3833,72.81,99,81,2.84,GF,2022-02-02 23:02:11,broken clouds
394,Flagstaff,35.1981,-111.6513,37.67,28,62,3.0,US,2022-02-02 23:00:10,broken clouds
395,Verkh-Usugli,52.7,115.1667,-19.1,96,14,3.24,RU,2022-02-02 23:02:12,few clouds
396,Havoysund,70.9963,24.6622,18.48,85,54,10.27,NO,2022-02-02 23:02:12,broken clouds
397,Turayf,31.6725,38.6637,47.1,43,100,19.15,SA,2022-02-02 23:02:13,overcast clouds
398,Los Algarrobos,8.5,-82.4333,81.45,60,2,4.45,PA,2022-02-02 23:02:13,clear sky
399,Tahta,26.7693,31.5021,55.71,37,65,2.28,EG,2022-02-02 23:02:14,broken clouds
400,Clyde River,70.4692,-68.5914,-22.05,98,100,6.6,CA,2022-02-02 23:02:14,overcast clouds
401,Kidal,18.4411,1.4078,64.9,12,1,10.71,ML,2022-02-02 23:02:14,clear sky
402,Shingu,33.7333,135.9833,44.91,67,98,5.48,JP,2022-02-02 23:02:15,overcast clouds
403,Chishtian Mandi,29.8,72.8667,57.0,54,56,19.3,PK,2022-02-02 23:02:15,broken clouds
404,Chernigovka,44.3389,132.5728,-1.03,93,99,3.31,RU,2022-02-02 23:02:16,overcast clouds
405,Finschhafen,-6.6024,147.8681,82.17,77,100,11.14,PG,2022-02-02 23:02:16,overcast clouds
406,Marysville,48.0518,-122.1771,43.79,89,100,5.01,US,2022-02-02 23:02:17,light rain
407,Pevek,69.7008,170.3133,-7.83,75,25,5.23,RU,2022-02-02 23:02:17,scattered clouds
408,Anta,25.15,76.3,61.2,50,0,8.46,IN,2022-02-02 23:02:18,clear sky
409,General Roca,-39.0333,-67.5833,84.61,23,6,20.36,AR,2022-02-02 23:02:18,clear sky
