City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Torbay,CA,2022-01-31 00:22:08,47.6666,-52.7314,36.39,81,75,24.16
100,Bambanglipuro,ID,2022-01-31 00:22:08,-7.95,110.2833,64.6,86,100,3.69
101,Grindavik,IS,2022-01-31 00:22:09,63.8424,-22.4338,26.55,93,90,29.93
102,Kununurra,AU,2022-01-31 00:22:09,-15.7667,128.7333,84.18,74,75,16.11
103,Atuona,PF,2022-01-31 00:18:04,-9.8,-139.0333,78.12,78,12,14.7
104,Kloulklubed,PW,2022-01-31 00:22:10,7.0419,134.2556,81.1,73,94,14.36
105,Ponta Do Sol,PT,2022-01-31 00:22:10,32.6667,-17.1,65.12,36,1,10.09
106,Aripuana,BR,2022-01-31 00:22:10,-9.1667,-60.6333,72.03,99,100,2.21
107,Vardo,NO,2022-01-31 00:22:11,70.3705,31.1107,30.49,62,98,13.38
108,Teahupoo,PF,2022-01-31 00:22:11,-17.8333,-149.2667,80.56,75,66,11.1
109,Claudio,BR,2022-01-31 00:22:12,-20.4433,-44.7658,67.93,91,99,1.99
110,Hermanus,ZA,2022-01-31 00:22:12,-34.4187,19.2345,70.9,84,83,14.2
111,Dikson,RU,2022-01-31 00:22:13,73.5069,80.5464,-5.21,94,100,22.3
112,Wahiawa,US,2022-01-31 00:18:45,21.5028,-158.0236,77.32,56,100,14.97
113,Hualmay,PE,2022-01-31 00:22:13,-11.0964,-77.6139,71.33,82,100,9.84
114,Zhanaozen,KZ,2022-01-31 00:22:14,43.3,52.8,38.44,66,100,14.16
115,Hofn,IS,2022-01-31 00:22:14,64.2539,-15.2082,27.25,48,29,22.5
116,Qaanaaq,GL,2022-01-31 00:22:15,77.484,-69.3632,-4.5,81,100,6.2
117,Bairiki,KI,2022-01-31 00:22:15,1.3292,172.9752,86.0,74,20,12.66
118,Port Alfred,ZA,2022-01-31 00:22:16,-33.5906,26.891,73.0,89,100,15.61
119,Acarau,BR,2022-01-31 00:22:16,-2.8856,-40.12,77.49,82,100,9.53
120,Cocobeach,GA,2022-01-31 00:22:17,1.0002,9.5823,80.31,82,100,5.93
121,Narsaq,GL,2022-01-31 00:22:17,60.9167,-46.05,21.42,84,100,21.23
122,Maldonado,UY,2022-01-31 00:22:18,-34.6667,-54.9167,73.22,68,0,7.63
123,Karatau,KZ,2022-01-31 00:22:18,43.1667,70.4667,26.02,86,88,0.63
124,Comodoro Rivadavia,AR,2022-01-31 00:22:18,-45.8667,-67.5,57.06,44,0,8.05
125,Great Yarmouth,GB,2022-01-31 00:22:19,52.6083,1.7305,46.45,81,88,26.53
126,Churapcha,RU,2022-01-31 00:22:19,62.0025,132.4325,-38.33,100,86,3.0
127,Seoul,KR,2022-01-31 00:22:20,37.5683,126.9778,27.84,68,0,1.14
128,Ust-Karsk,RU,2022-01-31 00:22:20,52.7011,118.8077,-19.07,100,96,1.79
129,San Quintin,MX,2022-01-31 00:22:20,30.4833,-115.95,62.22,54,1,11.52
130,Gat,IL,2022-01-31 00:22:21,31.61,34.7642,48.4,100,9,5.95
